faction,Games,VP,Opp VP,Win %,Wins,Losses,Draws,Real Win %,Owned,Primary
Adepta_Sororitas,17155,"63,24","62,26","50,18",8608,8246,301,50,448.0,139.0
Adeptus_Custodes,28735,"63,66","61,04","52,52",15092,13216,427,52,478.0,118.0
Adeptus_Mechanicus,11233,"62,48","62,98","49,28",5536,5487,210,49,395.0,116.0
Craftworlds,25017,"61,85","62,98","48,12",12038,12593,386,48,478.0,128.0
Astra_Militarum,30370,"60,38","63,07","47,09",14300,15578,492,47,522.0,93.0
Black_Templars,17914,"60,41","61,13","48,46",8682,8936,296,48,,
Blood_Angels,28697,"62,32","63,2","49,37",14167,14084,446,49,,
Chaos_Daemons,16858,"66,39","62,95","53,47",9014,7583,261,53,371.0,46.0
Chaos_Knights,20403,"64,1","62,41","52,46",10703,9428,272,52,232.0,12.0
Chaos_Space_Marines,27335,"59,47","63,15","44,82",12252,14659,424,44,,
Dark_Angels,30235,"61,81","62,26","48,23",14582,15136,517,48,,
Death_Guard,38993,"64,15","63,14","50,82",19816,18569,608,50,,
Deathwatch,4908,"61,88","61,24","49,88",2448,2384,76,49,,
Drukhari,15298,"64,36","63,59","49,39",7555,7502,241,49,395.0,70.0
Emperor's_Children,23394,"60,58","61,78","48,24",11286,11759,349,48,,
Genestealer_Cult,8718,"65,23","63,77","51,96",4530,4041,147,52,371.0,70.0
Grey_Knights,14838,"61,53","62,77","47,13",6993,7617,228,47,,
Imperial_Agents,1559,"60,69","66,66","43,94",685,849,25,43,,
Imperial_Knights,21160,"62,93","61,84","52,25",11057,9818,285,52,325.0,23.0
Leagues_Of_Votann,19861,"63,5","63,13","49,44",9820,9733,308,49,,
Necrons,42331,"62,54","63,44","51,27",21702,19903,726,51,692.0,139.0
Orks,23532,"59,87","61,47","46,68",10984,12200,348,46,497.0,139.0
Space_Marines,57238,"59,93","61,79","46,72",26740,29595,903,46,,
Space_Wolves,21651,"60,74","61,78","48,46",10493,10792,366,48,,
Tau_Empire,28872,"62,75","62,98","47,85",13814,14578,480,47,452.0,93.0
Thousand_Sons,20895,"61,08","61,29","49,64",10372,10178,345,49,,
Tyranids,36649,"61,68","61,91","49,63",18190,17835,624,49,383.0,116.0
World_Eaters,32877,"62,74","62,15","50,58",16628,15788,461,50,,
